 31,      COMMASY, No. 18 : ,.
 31,      IDENTSY, No. 38 : n.
 31,      COMMASY, No. 18 : ,.
 31,      IDENTSY, No. 38 : s.
 31,      COMMASY, No. 18 : ,.
 31,      IDENTSY, No. 38 : x1.
 31,       SEMISY, No. 19 : ;.
 32,        INTSY, No. 22 : int.
 32,      IDENTSY, No. 38 : m.
 32,      COMMASY, No. 18 : ,.
 32,      IDENTSY, No. 38 : m.
 32,      COMMASY, No. 18 : ,.
 32,      IDENTSY, No. 38 : k2.
 32,      COMMASY, No. 18 : ,.
 32,      IDENTSY, No. 38 : h.
 32,      COMMASY, No. 18 : ,.
 32,      IDENTSY, No. 38 : leap.
 32,      COMMASY, No. 18 : ,.
 32,      IDENTSY, No. 38 : x2.
 32,       SEMISY, No. 19 : ;.
 33,        INTSY, No. 22 : int.
 33,      IDENTSY, No. 38 : a.
 33,      COMMASY, No. 18 : ,.
 33,      IDENTSY, No. 38 : a.
 33,      COMMASY, No. 18 : ,.
 33,      IDENTSY, No. 38 : b.
 33,      COMMASY, No. 18 : ,.
 33,      IDENTSY, No. 38 : c.
 33,       SEMISY, No. 19 : ;.
 35,      IDENTSY, No. 38 : j.
 35,     ASSIGNSY, No. 10 : =.
 35,     ASSIGNSY, No. 10 : =.
 35,      IDENTSY, No. 38 : val.
 35,       SEMISY, No. 19 : ;.
 36,       LOOPSY, No. 31 : while.
 36,       LPAESY, No. 11 : (.
 36,      IDENTSY, No. 38 : j.
 36,         LSSY, No.  4 : <.
 36,      IDENTSY, No. 38 : MAX_NUM.
 36,       RPARSY, No. 12 : ).
 37,       LPRTSY, No. 15 : {.
 38,      IDENTSY, No. 38 : n.
 38,     ASSIGNSY, No. 10 : =.
 38,     ASSIGNSY, No. 10 : =.
 38,      MINUSSY, No.  1 : -.
 38,    INTEGERSY, No. 35 : 1.
 38,       SEMISY, No. 19 : ;.
 39,      IDENTSY, No. 38 : s.
 39,     ASSIGNSY, No. 10 : =.
 39,     ASSIGNSY, No. 10 : =.
 39,      IDENTSY, No. 38 : j.
 39,       SEMISY, No. 19 : ;.
 40,      IDENTSY, No. 38 : i.
 40,     ASSIGNSY, No. 10 : =.
 40,     ASSIGNSY, No. 10 : =.
 40,    INTEGERSY, No. 35 : 1.
 40,       SEMISY, No. 19 : ;.
 41,       LOOPSY, No. 31 : while.
 41,       LPAESY, No. 11 : (.
 41,      IDENTSY, No. 38 : i.
 41,         LSSY, No.  4 : <.
 41,      IDENTSY, No. 38 : j.
 41,       RPARSY, No. 12 : ).
 42,       LPRTSY, No. 15 : {.
 43,      IDENTSY, No. 38 : x1.
 43,     ASSIGNSY, No. 10 : =.
 43,     ASSIGNSY, No. 10 : =.
 43,       LPAESY, No. 11 : (.
 43,      IDENTSY, No. 38 : j.
 43,        DIVSY, No.  3 : /.
 43,      IDENTSY, No. 38 : i.
 43,       RPARSY, No. 12 : ).
 43,       MULTSY, No.  2 : *.
 43,      IDENTSY, No. 38 : i.
 43,       SEMISY, No. 19 : ;.
 44,         IFSY, No. 30 : if.
 44,       LPAESY, No. 11 : (.
 44,      IDENTSY, No. 38 : mod.
 44,       LPAESY, No. 11 : (.
 44,      IDENTSY, No. 38 : j.
 44,      COMMASY, No. 18 : ,.
 44,      IDENTSY, No. 38 : i.
 44,       RPARSY, No. 12 : ).
 44,        EQUSY, No.  9 : ==.
 44,    INTEGERSY, No. 35 : .
 44,       RPARSY, No. 12 : ).
 45,       LPRTSY, No. 15 : {.
 46,      IDENTSY, No. 38 : n.
 46,     ASSIGNSY, No. 10 : =.
 46,     ASSIGNSY, No. 10 : =.
 46,      IDENTSY, No. 38 : n.
 46,       PLUSSY, No.  0 : +.
 46,    INTEGERSY, No. 35 : 1.
 46,       SEMISY, No. 19 : ;.
 47,      IDENTSY, No. 38 : s.
 47,     ASSIGNSY, No. 10 : =.
 47,     ASSIGNSY, No. 10 : =.
 47,      IDENTSY, No. 38 : s.
 47,      MINUSSY, No.  1 : -.
 47,      IDENTSY, No. 38 : i.
 47,       SEMISY, No. 19 : ;.
 48,         IFSY, No. 30 : if.
 48,       LPAESY, No. 11 : (.
 48,      IDENTSY, No. 38 : n.
 48,         GESY, No.  7 : >=.
 48,    INTEGERSY, No. 35 : 128.
 48,       RPARSY, No. 12 : ).
 49,      PRINTSY, No. 33 : printf.
 49,       LPAESY, No. 11 : (.
 49,       DQUOSY, No. 21 : ".
 49,     STRINGSY, No. 37 : " OVERFLOW!          ".
 49,       DQUOSY, No. 21 : " OVERFLOW!          ".
 49,       RPARSY, No. 12 : ).
 49,       SEMISY, No. 19 : ;.
 50,         IFSY, No. 30 : if.
 50,       LPAESY, No. 11 : (.
 50,      IDENTSY, No. 38 : n.
 50,         LSSY, No.  4 : <.
 50,    INTEGERSY, No. 35 : 128.
 50,       RPARSY, No. 12 : ).
 51,      IDENTSY, No. 38 : k.
 51,     LBRACKSY, No. 13 : [.
 51,     LBRACKSY, No. 13 : [.
 51,      IDENTSY, No. 38 : n.
 51,     RBRACKSY, No. 14 : ].
 51,     ASSIGNSY, No. 10 : =.
 51,      IDENTSY, No. 38 : i.
 51,       SEMISY, No. 19 : ;.
 52,       RPRTSY, No. 16 : }.
 53,      IDENTSY, No. 38 : i.
 53,     ASSIGNSY, No. 10 : =.
 53,     ASSIGNSY, No. 10 : =.
 53,      IDENTSY, No. 38 : i.
 53,       PLUSSY, No.  0 : +.
 53,    INTEGERSY, No. 35 : 1.
 53,       SEMISY, No. 19 : ;.
 54,       RPRTSY, No. 16 : }.
 56,         IFSY, No. 30 : if.
 56,       LPAESY, No. 11 : (.
 56,      IDENTSY, No. 38 : s.
 56,        EQUSY, No.  9 : ==.
 56,    INTEGERSY, No. 35 : .
 56,       RPARSY, No. 12 : ).
 57,       LPRTSY, No. 15 : {.
 58,      PRINTSY, No. 33 : printf.
 58,       LPAESY, No. 11 : (.
 58,       DQUOSY, No. 21 : ".
 58,     STRINGSY, No. 37 : " complete number: ".
 58,       DQUOSY, No. 21 : " complete number: ".
 58,      COMMASY, No. 18 : ,.
 58,      IDENTSY, No. 38 : j.
 58,       RPARSY, No. 12 : ).
 58,       SEMISY, No. 19 : ;.
 59,      IDENTSY, No. 38 : i.
 59,     ASSIGNSY, No. 10 : =.
 59,     ASSIGNSY, No. 10 : =.
 59,    INTEGERSY, No. 35 : .
 59,       SEMISY, No. 19 : ;.
 60,       LOOPSY, No. 31 : while.
 60,       LPAESY, No. 11 : (.
 60,      IDENTSY, No. 38 : i.
 60,         LESY, No.  5 : <=.
 60,      IDENTSY, No. 38 : n.
 60,       RPARSY, No. 12 : ).
 61,       LPRTSY, No. 15 : {.
 62,      PRINTSY, No. 33 : printf.
 62,       LPAESY, No. 11 : (.
 62,       DQUOSY, No. 21 : ".
 62,     STRINGSY, No. 37 : "  ".
 62,       DQUOSY, No. 21 : "  ".
 62,      COMMASY, No. 18 : ,.
 62,      IDENTSY, No. 38 : k.
 62,     LBRACKSY, No. 13 : [.
 62,      IDENTSY, No. 38 : i.
 62,     RBRACKSY, No. 14 : ].
 62,       RPARSY, No. 12 : ).
 62,       SEMISY, No. 19 : ;.
 63,      IDENTSY, No. 38 : i.
 63,     ASSIGNSY, No. 10 : =.
 63,     ASSIGNSY, No. 10 : =.
 63,      IDENTSY, No. 38 : i.
 63,       PLUSSY, No.  0 : +.
 63,    INTEGERSY, No. 35 : 1.
 63,       SEMISY, No. 19 : ;.
 64,       RPRTSY, No. 16 : }.
 65,      PRINTSY, No. 33 : printf.
 65,       LPAESY, No. 11 : (.
 65,       DQUOSY, No. 21 : ".
 65,     STRINGSY, No. 37 : "          ".
 65,       DQUOSY, No. 21 : "          ".
 65,       RPARSY, No. 12 : ).
 65,       SEMISY, No. 19 : ;.
 66,       RPRTSY, No. 16 : }.
 67,      IDENTSY, No. 38 : j.
 67,     ASSIGNSY, No. 10 : =.
 67,     ASSIGNSY, No. 10 : =.
 67,      IDENTSY, No. 38 : j.
 67,       PLUSSY, No.  0 : +.
 67,    INTEGERSY, No. 35 : 1.
 67,       SEMISY, No. 19 : ;.
 68,       RPRTSY, No. 16 : }.
 70,      PRINTSY, No. 33 : printf.
 70,       LPAESY, No. 11 : (.
 70,       DQUOSY, No. 21 : ".
 70,     STRINGSY, No. 37 : " ---------------------------------------------------------------          ".
 70,       DQUOSY, No. 21 : " ---------------------------------------------------------------          ".
 70,       RPARSY, No. 12 : ).
 70,       SEMISY, No. 19 : ;.
 71,      IDENTSY, No. 38 : a.
 71,     ASSIGNSY, No. 10 : =.
 71,     ASSIGNSY, No. 10 : =.
 71,    INTEGERSY, No. 35 : .
 71,       SEMISY, No. 19 : ;.
 72,      IDENTSY, No. 38 : i.
 72,     ASSIGNSY, No. 10 : =.
 72,     ASSIGNSY, No. 10 : =.
 72,    INTEGERSY, No. 35 : .
 72,       SEMISY, No. 19 : ;.
 73,       LOOPSY, No. 31 : while.
 73,       LPAESY, No. 11 : (.
 73,      IDENTSY, No. 38 : i.
 73,         LSSY, No.  4 : <.
 73,      IDENTSY, No. 38 : MAX_NUM.
 73,       RPARSY, No. 12 : ).
 73,       LPRTSY, No. 15 : {.
 74,      IDENTSY, No. 38 : b.
 74,     ASSIGNSY, No. 10 : =.
 74,     ASSIGNSY, No. 10 : =.
 74,      IDENTSY, No. 38 : a.
 74,       MULTSY, No.  2 : *.
 74,      IDENTSY, No. 38 : i.
 74,       SEMISY, No. 19 : ;.
 75,      IDENTSY, No. 38 : c.
 75,     ASSIGNSY, No. 10 : =.
 75,     ASSIGNSY, No. 10 : =.
 75,      IDENTSY, No. 38 : j.
 75,       MULTSY, No.  2 : *.
 75,      IDENTSY, No. 38 : n.
